Model,Source,MAPE,Samples
qwen-qwq-32b,Just Food,1.86%,13
qwen-qwq-32b,LA Times,0.25%,1
qwen-qwq-32b,Life Insurance International,1.54%,5
qwen-qwq-32b,MarketWatch,0.87%,6
qwen-qwq-32b,Medical Device Network,0.03%,1
qwen-qwq-32b,Mining Technology,1.28%,32
qwen-qwq-32b,Moneywise,1.42%,2
qwen-qwq-32b,Motley Fool,5.61%,511
qwen-qwq-32b,Motor Finance,9.41%,3
qwen-qwq-32b,Offshore Technology,1.54%,6
qwen-qwq-32b,Payments Dive,3.50%,4
qwen-qwq-32b,Power Technology,2.76%,1
qwen-qwq-32b,Private Banker International,2.83%,8
qwen-qwq-32b,Quartz,4.62%,20
qwen-qwq-32b,Retail Dive,7.24%,8
qwen-qwq-32b,Retail Insight Network,9.33%,19
qwen-qwq-32b,Reuters,5.38%,396
qwen-qwq-32b,Schaeffer's Investment Research,34.70%,4
qwen-qwq-32b,TheStreet,5.58%,32
qwen-qwq-32b,TipRanks,5.71%,45
qwen-qwq-32b,USA TODAY,1.41%,9
qwen-qwq-32b,Verdict,2.72%,8
qwen-qwq-32b,WWD,2.70%,20
qwen-qwq-32b,World Construction Network,3.23%,3
qwen-qwq-32b,Yahoo Finance,4.78%,121
qwen-qwq-32b,Yahoo Personal Finance,5.41%,9
qwen-qwq-32b,etf.com,3.16%,23
